# -*- ck2.history.provinces -*-

# 646 - Esfahan # Isfahan

# County Title
title = c_esfahan

# Settlements
max_settlements = 7
b_esfahan = castle
b_firuzan = city
b_qumisha = castle
b_gulpayagan = temple
b_lurdagan = city

#b_yazdikhwast = castle
#b_sarvistan = temple
#b_abada = castle


#Misc
culture = persian
religion = mazdaki

# History
867.1.1 = { religion = sunni }
867.1.1 = { 
	b_esfahan = ca_keep_1
	b_esfahan = ca_training_grounds_1
	b_esfahan = ca_keep_2
	b_esfahan = ca_stable_1
	b_esfahan = ca_barracks_1
	b_esfahan = ca_militia_barracks_1
	b_esfahan = ca_wall_1
	b_esfahan = ca_wall_2
	b_firuzan = ct_wall_1
	b_firuzan = ct_barracks_1
	b_gulpayagan = tp_monastery_1
	b_gulpayagan = tp_monastery_2
	b_gulpayagan = tp_wall_1
	b_gulpayagan = tp_barracks_1
}

1337.1.1 = { b_yazdikhwast = castle }
